Solving testing_graphs/data_2_partite_tparisi.csv...
Graph #168/4000: True, time=0.000022s
Graph #169/4000: True, time=0.000018s
Graph #170/4000: False, time=0.000018s
Graph #171/4000: True, time=0.000019s
Graph #172/4000: False, time=0.000015s
Graph #173/4000: False, time=0.000020s
Graph #174/4000: True, time=0.000017s
Graph #175/4000: True, time=0.000019s
Graph #176/4000: False, time=0.000015s
Graph #177/4000: False, time=0.000018s
Graph #178/4000: False, time=0.000016s
Graph #179/4000: True, time=0.000021s
Graph #180/4000: False, time=0.000022s
Graph #181/4000: False, time=0.000021s
Graph #182/4000: True, time=0.000018s
Graph #183/4000: False, time=0.000019s
Graph #184/4000: False, time=0.000018s
Graph #185/4000: True, time=0.000017s
Graph #186/4000: False, time=0.000021s
Graph #187/4000: True, time=0.000018s
Graph #188/4000: False, time=0.000023s
Graph #189/4000: True, time=0.000021s
Graph #190/4000: False, time=0.000022s
Graph #191/4000: True, time=0.000020s
Graph #192/4000: True, time=0.000017s
Graph #193/4000: False, time=0.000025s
Graph #194/4000: False, time=0.000028s
Graph #195/4000: False, time=0.000021s
Graph #196/4000: False, time=0.000022s
Graph #197/4000: False, time=0.000020s
Graph #198/4000: True, time=0.000017s
Graph #199/4000: True, time=0.000016s
Graph #200/4000: True, time=0.000018s
Graph #201/4000: False, time=0.000030s
Graph #202/4000: False, time=0.000030s
Graph #203/4000: False, time=0.000029s
Graph #204/4000: False, time=0.000024s
Graph #205/4000: False, time=0.000028s
Graph #206/4000: True, time=0.000023s
Graph #207/4000: False, time=0.000026s
Graph #208/4000: False, time=0.000027s
Graph #209/4000: True, time=0.000024s
Graph #210/4000: True, time=0.000023s
Graph #211/4000: False, time=0.000026s
Graph #212/4000: False, time=0.000026s
Graph #213/4000: True, time=0.000024s
Graph #214/4000: False, time=0.000024s
Graph #215/4000: False, time=0.000041s
Graph #216/4000: True, time=0.000027s
Graph #217/4000: False, time=0.000026s
Graph #218/4000: False, time=0.000026s
Graph #219/4000: False, time=0.000030s
Graph #220/4000: True, time=0.000025s
Graph #221/4000: True, time=0.000025s
Graph #222/4000: False, time=0.000024s
Graph #223/4000: False, time=0.000025s
Graph #224/4000: True, time=0.000024s
Graph #225/4000: False, time=0.000032s
Graph #226/4000: True, time=0.000030s
Graph #227/4000: False, time=0.000027s
Graph #228/4000: False, time=0.000022s
Graph #229/4000: True, time=0.000026s
Graph #230/4000: True, time=0.000024s
Graph #231/4000: True, time=0.000024s
Graph #232/4000: True, time=0.000023s
Graph #233/4000: False, time=0.000019s
Graph #234/4000: False, time=0.000030s
Graph #235/4000: False, time=0.000033s
Graph #236/4000: False, time=0.000023s
